"Search Criteria","Zip: 97034 · Type: Commercial"
"Generated","July 22, 2026"
"Total Leads","62"

"Address","Property Type","Business Name","Contact Name","Phone","Email","Website","Roof Score","Year Built"
"333 S State St, Lake Oswego, OR 97034, USA","Commercial","Lake Place","","","","","High","1948"
"4811 Meadows Rd, Lake Oswego, OR 97035, USA","Commercial","Kruse Village","","(503) 245-1976","","http://gramor.com/development/kruse-village/","High","1948"
"220 A Ave, Lake Oswego, OR 97034, USA","Commercial","A Street Station","","(888) 665-4116","","","High","1949"
"380 A Ave, Lake Oswego, OR 97034, USA","Commercial","Lake Oswego Building Permits","","(503) 635-0390","","http://ci.oswego.or.us/","High","1951"
"380 A Ave, Lake Oswego, OR 97034, USA","Commercial","Lake Oswego City Hall","","(503) 635-0270","","https://www.ci.oswego.or.us/","High","1951"
"380 A Ave, Lake Oswego, OR 97034, USA","Commercial","Lake Oswego City Manager's Office","","(503) 635-0215","","https://www.ci.oswego.or.us/citymanager","High","1951"
"404 NW 10th Ave #102, Portland, OR 97210, USA","Commercial","SYLO Property Management","","(971) 347-3166","","http://sylopm.com/","High","1953"
"9500 SW Barbur Blvd #300, Portland, OR 97219, USA","Commercial","Kristin Square Office Building","","(503) 452-5545","","https://www.portland-oregon-office-space.com/","High","1954"
"1750 S Harbor Way Ste 240, Portland, OR 97201, USA","Commercial","TMG Property Management Services NW","","(503) 718-5600","","https://tmgportland.com/?utm_campaign=gmb&utm_medium=organic&utm_source=local","High","1957"
"4350 Galewood St Ste 200, Lake Oswego, OR 97035, USA","Commercial","D.R. Horton Oregon Division Office","","(503) 222-4151","","https://www.drhorton.com/oregon?utm_source=googlemybusiness&utm_medium=organic&utm_content=710&utm_campaign=GMB","High","1958"
"4800 Meadows Road, Kruse Woods Dr #300, Lake Oswego, OR 97035, USA","Commercial","Regus - Lake Oswego - Kruse Way","","(503) 534-3500","","https://www.regus.com/en/us/1007?utm_source=google_uberall&utm_medium=places&utm_campaign=uberall&utm_content=uberall","High","1965"
"4800 Southwest Meadows Road, Kruse Way #300, Lake Oswego, OR 97035, USA","Commercial","Affinity Group Inc","","(503) 699-7180","","http://www.affinitygrouporegon.com/","High","1965"
"3 Monroe Pkwy, Lake Oswego, OR 97035, USA","Commercial","Oswego Towne Square - Lower Level","","(503) 533-8015","","http://www.oswegotownesquare.com/","High","1970"
"3 Monroe Pkwy, Lake Oswego, OR 97035, USA","Commercial","HomeBase Real Estate Group","","(503) 776-0921","","https://www.homebasepdx.com/","High","1970"
"5319 SW Westgate Dr #219, Portland, OR 97221, USA","Commercial","Alder Property Management","","(503) 419-9798","","http://www.alderpropertymanagement.com/","High","1970"
"6600 SW 105th Ave #175, Beaverton, OR 97008, USA","Commercial","Pacific NW Properties","","(503) 626-3500","","http://www.pnwprop.com/","High","1972"
"5 Centerpointe Dr Suit 400, Lake Oswego, OR 97035, USA","Commercial","Regus - Lake Oswego - Centerpointe","","(503) 639-5553","","https://www.regus.com/en/us/1311?utm_source=google_uberall&utm_medium=places&utm_campaign=uberall&utm_content=uberall","High","1980"
"5 Centerpointe Dr Ste 650, Lake Oswego, OR 97035, USA","Commercial","Five Centerpointe","","","","","High","1980"
"5 Centerpointe Dr #400, Lake Oswego, OR 97035, USA","Commercial","Magnolia Property Management LLC","","(971) 299-1199","","http://www.magnoliapropertymanagementllc.com/","High","1980"
"6420 S Macadam Ave #380, Portland, OR 97239, USA","Commercial","Portland Homes & Commercial Properties","","(503) 777-0788","","https://portlandhomesllc.com/","High","1980"
"7800 SW Durham Rd Ste 300, Portland, OR 97224, USA","Commercial","Atlas Property Management","","(971) 808-9358","","https://www.atlaspnw.com/","High","1984"
"4000 Kruse Way Pl Bldg 3, Suite 210, Lake Oswego, OR 97035, USA","Commercial","Hallmark Inns & Resorts - Corporate Office","","(503) 635-4555","","http://www.hallmarkinns.com/?gmp-hq","High","1988"
"7320 SW Hunziker Rd #203, Tigard, OR 97223, USA","Commercial","Commercial Property Management NW","","(503) 309-5106","","https://commercialrenw.com/services/property-management","High","1988"
"7320 SW Hunziker Rd #203, Tigard, OR 97223, USA","Commercial","Commercial Real Estate NW","","(503) 309-5106","","https://commercialrenw.com/","High","1988"
"5200 Meadows Rd #150, Lake Oswego, OR 97035, USA","Commercial","5200 Meadows Executive Office Suites","","(503) 726-5999","","http://5200meadows.com/","High","1989"
"5200 Meadows Rd, Lake Oswego, OR 97035, USA","Commercial","Barnard Commercial Real Estate","","(503) 675-0900","","http://www.barnardcommercial.com/","High","1989"
"4500 Kruse Way Ste. 345, Lake Oswego, OR 97035, USA","Commercial","eSuite Offices","","","","http://www.esuite.com/","High","1996"
"390 N State St #310, Lake Oswego, OR 97034, USA","Commercial","Lake View Village","","(503) 699-5471","","http://gramor.com/development/lake-view-village/","Low","2019"
"Parking lot, 16351 Bryant Rd, Lake Oswego, OR 97035, USA","Commercial","Lake Grove Shopping Center","","","","","Low",""
"101 S State St, Lake Oswego, OR 97034, USA","Commercial","Oswego Village","","","","","Low",""
"17777 Lower Boones Ferry Rd, Lake Oswego, OR 97035, USA","Commercial","Meridian Square","","","","","Low",""
"7455 SW Bridgeport Rd, Tigard, OR 97224, USA","Commercial","Bridgeport Village","","(503) 968-1704","","https://www.bridgeport-village.com/","Low",""
"16066 Boones Ferry Rd, Lake Oswego, OR 97035, USA","Commercial","Lake Grove Plaza","","","","","Low",""
"Parking lot, 17780 Pilkington Rd, Lake Oswego, OR 97035, USA","Commercial","Rosewood Shopping Center","","","","","Low",""
"7663 SW Nyberg St, Tualatin, OR 97062, USA","Commercial","Nyberg Rivers","","(503) 968-1704","","https://www.shopnybergrivers.com/","Low",""
"7061 SW Nyberg St, Tualatin, OR 97062, USA","Commercial","Nyberg Woods","","(503) 968-8940","","https://www.shopnybergwoods.com/","Low",""
"11945 SW Pacific Hwy, Tigard, OR 97223, USA","Commercial","Tigard Plaza","","","","","Low",""
"19149 Willamette Dr, West Linn, OR 97068, USA","Commercial","Robinwood Shopping Center","","(858) 255-4918","","","Low",""
"Oak Grove, OR 97267, USA","Commercial","Oak Grove Center","","(951) 677-5599","","https://oakgrovecenter.org/","Low",""
"16074 SE McLoughlin Blvd, Oak Grove, OR 97267, USA","Commercial","Holly Farm Shopping Center","","","","https://m.facebook.com/pages/Holly-Farm-Shopping-Center/156634458009947","Low",""
"SW Barrows Rd &, SW Horizon Blvd, Beaverton, OR 97007, USA","Commercial","Progress Ridge TownSquare","","(714) 545-1400","","","Low",""
"1900 McLoughlin Blvd, Oregon City, OR 97045, USA","Commercial","Oregon City Shopping Center","","(714) 283-5800","","","Low",""
"11665 SW Beaverton Hillsdale Hwy, Beaverton, OR 97005, USA","Commercial","Beaverton Town Square","","","","","Low",""
"16025 SE McLoughlin Blvd, Portland, OR 97267, USA","Commercial","Twin Oaks Plaza","","","","","Low",""
"22000 Salamo Rd, West Linn, OR 97068, USA","Commercial","Cascade Summit Town Square","","","","","Low",""
"525 3rd St Ste 200, Lake Oswego, OR 97034, USA","Commercial","CENTRL Office Lake Oswego","","(503) 714-8855","","https://centrloffice.com/locations/lake-oswego/?utm_source=gmb&utm_medium=profile&utm_campaign=lakeoswego","Low",""
"15110 Boones Ferry Rd #250, Lake Oswego, OR 97035, USA","Commercial","Springcreek Office Park","","(503) 675-6705","","http://www.springcreekofficepark.com/","Low",""
"5335 Meadows Rd #275, Lake Oswego, OR 97035, USA","Commercial","Kruse Woods Corporate Park","","(503) 619-3200","","http://www.krusewoodscorporatepark.com/","Low",""
"15400 Boones Ferry Rd, Lake Oswego, OR 97035, USA","Commercial","Fifteen 400 Building","","","","","Low",""
"4035 Douglas Wy, Lake Oswego, OR 97035, USA","Commercial","Lake Grove Crossing","","(503) 468-5573","","https://www.lakegrovecrossing.com/","Low",""
"15962 Boones Ferry Rd, Lake Oswego, OR 97035, USA","Commercial","Boones Ferry Professional Plaza","","","","","Low",""
"19365 SW 65th Ave, Tualatin, OR 97062, USA","Commercial","Meridian Professional Building","","(503) 452-5545","","http://www.tualatin-medical-professional-space.com/","Low",""
"15100–15110 Boones Ferry Rd, Lake Oswego, OR 97035, USA","Commercial","Spring Creek Campus","","","","","Low",""
"8215 SW Tualatin-Sherwood Rd #200, Tualatin, OR 97062, USA","Commercial","Regus - Tualatin","","(503) 404-2500","","https://www.regus.com/en/us/2370?utm_source=google_uberall&utm_medium=places&utm_campaign=uberall&utm_content=uberall","Low",""
"550 3rd St, Lake Oswego, OR 97034, USA","Commercial","North Star Property Management","","(503) 636-2232","","https://northstarproperties.com/","Low",""
"7504 SW Bridgeport Rd, Portland, OR 97224, USA","Commercial","Clark Group Property Management","","(503) 810-3295","","http://clarkgrouppm.com/","Low",""
