"Search Criteria","Zip: 97035 · Type: Commercial"
"Generated","July 22, 2026"
"Total Leads","62"

"Address","Property Type","Business Name","Contact Name","Phone","Email","Website","Roof Score","Year Built"
"4811 Meadows Rd, Lake Oswego, OR 97035, USA","Commercial","Kruse Village","","(503) 245-1976","","http://gramor.com/development/kruse-village/","High","1948"
"333 S State St, Lake Oswego, OR 97034, USA","Commercial","Lake Place","","","","","High","1948"
"380 A Ave, Lake Oswego, OR 97034, USA","Commercial","Lake Oswego Building Permits","","(503) 635-0390","","http://ci.oswego.or.us/","High","1951"
"1750 S Harbor Way Ste 240, Portland, OR 97201, USA","Commercial","TMG Property Management Services NW","","(503) 718-5600","","https://tmgportland.com/?utm_campaign=gmb&utm_medium=organic&utm_source=local","High","1957"
"4800 Meadows Road, Kruse Woods Dr #300, Lake Oswego, OR 97035, USA","Commercial","Regus - Lake Oswego - Kruse Way","","(503) 534-3500","","https://www.regus.com/en/us/1007?utm_source=google_uberall&utm_medium=places&utm_campaign=uberall&utm_content=uberall","High","1965"
"4800 Southwest Meadows Road, Kruse Way #300, Lake Oswego, OR 97035, USA","Commercial","Affinity Group Inc","","(503) 699-7180","","http://www.affinitygrouporegon.com/","High","1965"
"1519 SW Marlow Ave, Portland, OR 97225, USA","Commercial","Jim McNeeley Real Estate & Property Management, Inc.","","(503) 292-8125","","https://www.mcneeley.com/","High","1968"
"2 Centerpointe Dr, Lake Oswego, OR 97035, USA","Commercial","Kruse Woods I","","","","","High","1969"
"2 Centerpointe Dr, Lake Oswego, OR 97035, USA","Commercial","Macadam Forbes Inc","","(503) 227-2500","","http://www.macadamforbes.com/","High","1969"
"3 Monroe Pkwy, Lake Oswego, OR 97035, USA","Commercial","Oswego Towne Square - Lower Level","","(503) 533-8015","","http://www.oswegotownesquare.com/","High","1970"
"3 Monroe Pkwy, Lake Oswego, OR 97035, USA","Commercial","HomeBase Real Estate Group","","(503) 776-0921","","https://www.homebasepdx.com/","High","1970"
"8639 SW Tualatin-Sherwood Rd, Tualatin, OR 97062, USA","Commercial","Hedges Green Shopping Center","","","","","High","1979"
"1 Centerpointe Dr, Lake Oswego, OR 97035, USA","Commercial","One Centerpointe","","","","","High","1979"
"5 Centerpointe Dr Suit 400, Lake Oswego, OR 97035, USA","Commercial","Regus - Lake Oswego - Centerpointe","","(503) 639-5553","","https://www.regus.com/en/us/1311?utm_source=google_uberall&utm_medium=places&utm_campaign=uberall&utm_content=uberall","High","1980"
"5 Centerpointe Dr Ste 650, Lake Oswego, OR 97035, USA","Commercial","Five Centerpointe","","","","","High","1980"
"5 Centerpointe Dr #400, Lake Oswego, OR 97035, USA","Commercial","Magnolia Property Management LLC","","(971) 299-1199","","http://www.magnoliapropertymanagementllc.com/","High","1980"
"5 Centerpointe Dr #400, Lake Oswego, OR 97035, USA","Commercial","Spear Northwest, Property Management","","(503) 536-1906","","https://www.spearnorthwestproperty.com/","High","1980"
"9 Monroe Pkwy #140, Lake Oswego, OR 97035, USA","Commercial","Reliance Property Management, Inc.","","(503) 244-1359","","http://www.reliancepminc.com/","High","1981"
"3927 Lake Grove Ave, Lake Oswego, OR 97035, USA","Commercial","Mainlander Property Management","","(503) 635-4477","","https://www.mainlander.com/","High","1983"
"4000 Kruse Way Pl Bldg 3, Suite 210, Lake Oswego, OR 97035, USA","Commercial","Hallmark Inns & Resorts - Corporate Office","","(503) 635-4555","","http://www.hallmarkinns.com/?gmp-hq","High","1988"
"7320 SW Hunziker Rd #203, Tigard, OR 97223, USA","Commercial","Commercial Property Management NW","","(503) 309-5106","","https://commercialrenw.com/services/property-management","High","1988"
"7320 SW Hunziker Rd #203, Tigard, OR 97223, USA","Commercial","Commercial Real Estate NW","","(503) 309-5106","","https://commercialrenw.com/","High","1988"
"5200 Meadows Rd #150, Lake Oswego, OR 97035, USA","Commercial","5200 Meadows Executive Office Suites","","(503) 726-5999","","http://5200meadows.com/","High","1989"
"5200 Meadows Rd #150, Lake Oswego, OR 97035, USA","Commercial","Constant Commercial Real Estate Inc","","(503) 222-0282","","http://www.constantcommercial.com/","High","1989"
"4500 Kruse Way Ste. 345, Lake Oswego, OR 97035, USA","Commercial","eSuite Offices","","","","http://www.esuite.com/","High","1996"
"4500 Kruse Way, Lake Oswego, OR 97035, USA","Commercial","First Commercial Property Corp","","(206) 985-7275","","https://fcpnw.com/","High","1996"
"390 N State St #310, Lake Oswego, OR 97034, USA","Commercial","Lake View Village","","(503) 699-5471","","http://gramor.com/development/lake-view-village/","Low","2019"
"Parking lot, 16351 Bryant Rd, Lake Oswego, OR 97035, USA","Commercial","Lake Grove Shopping Center","","","","","Low",""
"17777 Lower Boones Ferry Rd, Lake Oswego, OR 97035, USA","Commercial","Meridian Square","","","","","Low",""
"101 S State St, Lake Oswego, OR 97034, USA","Commercial","Oswego Village","","","","","Low",""
"7455 SW Bridgeport Rd, Tigard, OR 97224, USA","Commercial","Bridgeport Village","","(503) 968-1704","","https://www.bridgeport-village.com/","Low",""
"Parking lot, 17780 Pilkington Rd, Lake Oswego, OR 97035, USA","Commercial","Rosewood Shopping Center","","","","","Low",""
"16066 Boones Ferry Rd, Lake Oswego, OR 97035, USA","Commercial","Lake Grove Plaza","","","","","Low",""
"7663 SW Nyberg St, Tualatin, OR 97062, USA","Commercial","Nyberg Rivers","","(503) 968-1704","","https://www.shopnybergrivers.com/","Low",""
"7061 SW Nyberg St, Tualatin, OR 97062, USA","Commercial","Nyberg Woods","","(503) 968-8940","","https://www.shopnybergwoods.com/","Low",""
"11945 SW Pacific Hwy, Tigard, OR 97223, USA","Commercial","Tigard Plaza","","","","","Low",""
"19241 SW Martinazzi Ave, Tualatin, OR 97062, USA","Commercial","Martinazzi Square","","","","","Low",""
"10075 SW Barbur Blvd, Portland, OR 97219, USA","Commercial","Capitol Corner","","","","","Low",""
"SW Barrows Rd &, SW Horizon Blvd, Beaverton, OR 97007, USA","Commercial","Progress Ridge TownSquare","","(714) 545-1400","","","Low",""
"3205 SW Cedar Hills Blvd, Beaverton, OR 97005, USA","Commercial","Cedar Hills Crossing","","(503) 643-6563","","http://www.cedarhillscrossing.com/","Low",""
"1900 McLoughlin Blvd, Oregon City, OR 97045, USA","Commercial","Oregon City Shopping Center","","(714) 283-5800","","","Low",""
"11705 OR-99W, Tigard, OR 97223, USA","Commercial","Pacific Crossroads","","(503) 473-5558","","","Low",""
"11665 SW Beaverton Hillsdale Hwy, Beaverton, OR 97005, USA","Commercial","Beaverton Town Square","","","","","Low",""
"14385 SW Pacific Hwy, Tigard, OR 97224, USA","Commercial","Canterbury Square Shopping Center","","","","","Low",""
"525 3rd St Ste 200, Lake Oswego, OR 97034, USA","Commercial","CENTRL Office Lake Oswego","","(503) 714-8855","","https://centrloffice.com/locations/lake-oswego/?utm_source=gmb&utm_medium=profile&utm_campaign=lakeoswego","Low",""
"15110 Boones Ferry Rd #250, Lake Oswego, OR 97035, USA","Commercial","Springcreek Office Park","","(503) 675-6705","","http://www.springcreekofficepark.com/","Low",""
"5335 Meadows Rd #275, Lake Oswego, OR 97035, USA","Commercial","Kruse Woods Corporate Park","","(503) 619-3200","","http://www.krusewoodscorporatepark.com/","Low",""
"15400 Boones Ferry Rd, Lake Oswego, OR 97035, USA","Commercial","Fifteen 400 Building","","","","","Low",""
"4035 Douglas Wy, Lake Oswego, OR 97035, USA","Commercial","Lake Grove Crossing","","(503) 468-5573","","https://www.lakegrovecrossing.com/","Low",""
"15962 Boones Ferry Rd, Lake Oswego, OR 97035, USA","Commercial","Boones Ferry Professional Plaza","","","","","Low",""
"14523 Westlake Dr Bldg C, Lake Oswego, OR 97035, USA","Commercial","Westlake Executive Suites","","(503) 726-2286","","","Low",""
"19365 SW 65th Ave, Tualatin, OR 97062, USA","Commercial","Meridian Professional Building","","(503) 452-5545","","http://www.tualatin-medical-professional-space.com/","Low",""
"15060 SW Sequoia Pkwy, Tigard, OR 97224, USA","Commercial","Office Depot Coworking","","(503) 639-3880","","https://tigard.app.proximity.space/?utm_source=google&utm_medium=organicsearch&utm_campaign=gmb_921_website_coworking","Low",""
"15100–15110 Boones Ferry Rd, Lake Oswego, OR 97035, USA","Commercial","Spring Creek Campus","","","","","Low",""
"11481 SW Hall Blvd #201, Tigard, OR 97223, USA","Commercial","CoLab CoWorking","","(503) 868-0005","","https://colab.one/","Low",""
"550 3rd St, Lake Oswego, OR 97034, USA","Commercial","North Star Property Management","","(503) 636-2232","","https://northstarproperties.com/","Low",""
"525 3rd St Ste 200, Lake Oswego, OR 97034, USA","Commercial","Eagle Property Management, LLC","","(503) 697-9500","","https://eaglepropertymanagementco.com/?utm_source=GMB&utm_medium=RS&utm_campaign=Content","Low",""
"7504 SW Bridgeport Rd, Portland, OR 97224, USA","Commercial","Clark Group Property Management","","(503) 810-3295","","http://clarkgrouppm.com/","Low",""
"8101 SW Nyberg St #218, Tualatin, OR 97062, USA","Commercial","Real Property Management Solutions","","(503) 224-3002","","https://www.realpmsolutions.com/?cid=LSTL_RPM000203&utm_source=gmb&utm_campaign=local&utm_medium=organic","Low",""
"1584 Holly St, West Linn, OR 97068, USA","Commercial","Performance Properties Inc.","","(503) 635-0099","","http://ppirentals.com/","Low",""
