"Search Criteria","Zip: 97068 · Type: Commercial"
"Generated","July 22, 2026"
"Total Leads","57"

"Address","Property Type","Business Name","Contact Name","Phone","Email","Website","Roof Score","Year Built"
"819 SE Morrison St #110, Portland, OR 97214, USA","Commercial","North Rim Commercial Properties","","(503) 525-1925","","https://www.northrimpdx.com/","High","1908"
"1836 NE 7th Ave, Portland, OR 97212, USA","Commercial","Mont-Blanc Building","","(503) 525-1927","","http://northrimpdx.com/","High","1913"
"4800 S Macadam Ave #120, Portland, OR 97239, USA","Commercial","Deering Management Group Inc","","(503) 225-1545","","http://www.deeringmanagementgroup.com/","High","1918"
"511 Main St, Oregon City, OR 97045, USA","Commercial","Harding Building - Small Business Offices","","(503) 617-7662","","http://hardingbuildingoregoncity.com/","High","1920"
"520 SW Yamhill St, Portland, OR 97204, USA","Commercial","Pacific Building","","(503) 227-6142","","http://www.thepacificbuilding.com/","High","1926"
"920 SW 6th Ave, Portland, OR 97204, USA","Commercial","Power + Light Building","","(503) 515-7333","","http://powerandlightbldgportland.com/","High","1927"
"900 SW 5th Ave 17th floor, Portland, OR 97204, USA","Commercial","Norris & Stevens","","(503) 223-3171","","http://norris-stevens.com/","High","1931"
"2715 SE 8th Ave, Portland, OR 97202, USA","Commercial","Dairy Building","","","","http://www.intrinsicventures.com/thedairybuilding","High","1941"
"2175 NW Raleigh St Ste 110, Portland, OR 97210, USA","Commercial","Spaces Slabtown","","(844) 677-2237","","https://www.spacesworks.com/en/us/5171?utm_source=google_uberall&utm_medium=places&utm_campaign=uberall&utm_content=uberall","High","1951"
"404 NW 10th Ave #102, Portland, OR 97210, USA","Commercial","SYLO Property Management","","(971) 347-3166","","http://sylopm.com/","High","1953"
"80 SE Madison St, Portland, OR 97214, USA","Commercial","Waterman Building","","(503) 525-1925","","https://www.northrimpdx.com/","High","1954"
"5279 N Lombard St, Portland, OR 97203, USA","Commercial","Portland Property Management","","(503) 550-8720","","http://portlandpm.com/","High","1956"
"2201 Lloyd Center, Portland, OR 97232, USA","Commercial","Lloyd Center","","(503) 528-8515","","https://www.lloydcenter.com/","High","1959"
"6309 SW Capitol Hwy, Portland, OR 97239, USA","Commercial","Hillsdale Shopping Center","","","","https://www.hillsdalepdx.com/","High","1960"
"1519 SW Marlow Ave, Portland, OR 97225, USA","Commercial","Jim McNeeley Real Estate & Property Management, Inc.","","(503) 292-8125","","https://www.mcneeley.com/","High","1968"
"5319 SW Westgate Dr, Portland, OR 97221, USA","Commercial","Sylvan-Westgate Building","","(503) 291-1455","","","High","1970"
"5319 SW Westgate Dr #219, Portland, OR 97221, USA","Commercial","Alder Property Management","","(503) 419-9798","","http://www.alderpropertymanagement.com/","High","1970"
"975 SE Sandy Blvd #200, Portland, OR 97214, USA","Commercial","Grid Property Management, LLC","","(503) 321-5140","","https://www.gridpropertymanagement.com/","High","1973"
"1220 SW Morrison St #500, Portland, OR 97205, USA","Commercial","Terminal Sales Building Office","","(503) 228-9690","","","High","1974"
"6420 S Macadam Ave #380, Portland, OR 97239, USA","Commercial","Portland Homes & Commercial Properties","","(503) 777-0788","","https://portlandhomesllc.com/","High","1980"
"7320 SW Hunziker Rd #203, Tigard, OR 97223, USA","Commercial","Commercial Property Management NW","","(503) 309-5106","","https://commercialrenw.com/services/property-management","High","1988"
"7320 SW Hunziker Rd #203, Tigard, OR 97223, USA","Commercial","Commercial Real Estate NW","","(503) 309-5106","","https://commercialrenw.com/","High","1988"
"2020 8th Ave, West Linn, OR 97068, USA","Commercial","Willamette Marketplace","","","","","High","1993"
"2051 Willamette Falls Dr, West Linn, OR 97068, USA","Commercial","24/7 Properties LLC","","(503) 482-0500","","http://www.247prop.com/","High","1994"
"1865 Blankenship Rd, West Linn, OR 97068, USA","Commercial","River Falls Shopping Center","","(503) 655-5584","","","High","1995"
"1830 Blankenship Rd Ste 150, West Linn, OR 97068, USA","Commercial","Social Security Administration","","(800) 772-1213","","http://www.ssa.gov/","High","1997"
"1120 N Hayden Meadows Dr, Portland, OR 97217, USA","Commercial","Hayden Meadows Square","","","","","High","2005"
"9585 SW Washington Square Rd, Portland, OR 97223, USA","Commercial","Washington Square","","(503) 639-8860","","https://www.shopwashingtonsquare.com/?utm_source=google&utm_medium=onlinesearch&utm_content=gmp_website_button&utm_campaign=yext","High","2010"
"1155 SW Morrison St, Portland, OR 97205, USA","Commercial","CENTRL Office Portland - West End","","(503) 714-6055 ext. 3","","https://centrloffice.com/locations/oregon-portland-downtown/?utm_source=gmb&utm_medium=profile&utm_campaign=pdx-downtown","Medium","2017"
"1800 Blankenship Rd #200, West Linn, OR 97068, USA","Commercial","Willamette 205","","(503) 914-4494","","http://www.encompassfinancialplanning.com/","Low","2023"
"1895-2035 NW Front Ave, Portland, OR 97209, USA","Commercial","Field Office","","(503) 567-6442","","","Medium",""
"21900 Willamette Dr, West Linn, OR 97068, USA","Commercial","West Linn Central Village","","(503) 245-1976","","https://gramor.com/development/west-linn-central-village/","Low",""
"700 SW 5th Ave, Portland, OR 97204, USA","Commercial","Pioneer Place","","(503) 228-5800","","https://www.pioneerplace.com/en.html","Low",""
"1405 Jantzen Beach Center, Portland, OR 97217, USA","Commercial","Jantzen Beach Center","","(833) 800-4343","","https://jantzenbeachpdx.shopkimco.com/","Low",""
"19149 Willamette Dr, West Linn, OR 97068, USA","Commercial","Robinwood Shopping Center","","(858) 255-4918","","","Low",""
"12000 SE 82nd Ave, Happy Valley, OR 97086, USA","Commercial","Clackamas Town Center","","(503) 653-6613","","https://www.clackamastowncenter.com/en.html","Low",""
"7455 SW Bridgeport Rd, Tigard, OR 97224, USA","Commercial","Bridgeport Village","","(503) 968-1704","","https://www.bridgeport-village.com/","Low",""
"22000 Salamo Rd, West Linn, OR 97068, USA","Commercial","Cascade Summit Town Square","","","","","Low",""
"Parking lot, 19359 Willamette Dr, West Linn, OR 97068, USA","Commercial","West linn retail center","","","","","Low",""
"NE Cascades Pkwy, Portland, OR 97220, USA","Commercial","Cascade Station","","(503) 477-9381","","https://www.shopcascadestation.com/","Low",""
"NW West Union Rd, Portland, OR 97229, USA","Commercial","West Union Village","","","","http://west-union-village.edan.io/","Low",""
"SE Sunnyside Rd, Clackamas, OR 97015, USA","Commercial","Clackamas Promenade","","(833) 800-4343","","https://clackamaspromenade.shopkimco.com/","Low",""
"22500 Salamo Rd #900, West Linn, OR 97068, USA","Commercial","West Linn Building Department","","(503) 656-4211","","http://westlinnoregon.gov/","Low",""
"Portland State Office Building, 800 NE Oregon St, Portland, OR 97232, USA","Commercial","Portland State Office Building (PSOB)","","(971) 673-0618","","http://www.oregon.gov/Pages/index.aspx","Low",""
"9900 SW Wilshire St, Portland, OR 97225, USA","Commercial","Sunset Office Building","","","","","Low",""
"8835 SW Canyon Ln, Portland, OR 97225, USA","Commercial","Canyonwood Office Complex","","(503) 702-7439","","http://www.lawrenceinvestment.com/","Low",""
"Liberty Centre, 650 NE Holladay St Ste 1600, Portland, OR 97232, USA","Commercial","Regus - Portland - Liberty Centre","","(503) 444-3300","","https://www.regus.com/en/us/2276?utm_source=google_uberall&utm_medium=places&utm_campaign=uberall&utm_content=uberall","Low",""
"1355 NW Everett St Ste 100, Portland, OR 97209, USA","Commercial","CENTRL Office Pearl","","(503) 714-6055 ext. 1","","https://centrloffice.com/locations/oregon-portland-pearl-district/?utm_source=gmb&utm_medium=profile&utm_campaign=pdx-pearl","Low",""
"111 SW 5th Ave #1250, Portland, OR 97204, USA","Commercial","U.S. Bancorp","","(503) 275-7461","","https://unicoprop.com/properties/us-bancorp-tower/","Low",""
"1584 Holly St, West Linn, OR 97068, USA","Commercial","Performance Properties Inc.","","(503) 635-0099","","http://ppirentals.com/","Low",""
"50 NE Tomahawk Island Dr, Portland, OR 97217, USA","Commercial","Kinetic Properties, LLC","","(503) 305-7204","","http://kineticpropertiesllc.com/","Low",""
"525 3rd St Ste 200, Lake Oswego, OR 97034, USA","Commercial","Eagle Property Management, LLC","","(503) 697-9500","","https://eaglepropertymanagementco.com/?utm_source=GMB&utm_medium=RS&utm_campaign=Content","Low",""
"6700 SW 105th Ave #210, Beaverton, OR 97008, USA","Commercial","Residential Property Management, Inc.","","(503) 245-8022","","http://rpmpdx.com/","Low",""
"14913 SE 82nd Dr, Clackamas, OR 97015, USA","Commercial","Touchstone Property Management","","(503) 897-8417","","https://touchstonepdx.com/","Low",""
"7504 SW Bridgeport Rd, Portland, OR 97224, USA","Commercial","Clark Group Property Management","","(503) 810-3295","","http://clarkgrouppm.com/","Low",""
"18676 Willamette Dr Suite 100, West Linn, OR 97068, USA","Commercial","PropM Inc.","","(888) 780-2938","","https://www.propmhomes.com/","Low",""
"901 NE Glisan St, Portland, OR 97232, USA","Commercial","NAI Elliott","","(503) 224-6791","","http://www.naielliott.com/","Low",""
